,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0,29.810717,4.050780239429113,16.36094,27.296354,61.289032,44.928093,329.4476,210.46347,134.1417,118.7308,1.3584558,0.8671734228364689,0.075659014,1.1325408,3.8330164,3.7573574,20.442198,9.304356,10.954387,6.5302367,1.0916306,1.022253028479906,20.494692,8.238066420513913,-4.255131,43.680159822838704,16.180923,166.11724016954014,-3.9818604,404.59196780554225,0.064720616,1.3727247378599525,1.816543,0.8598762442590261,1.4889033,16.15005776278047,2.8751326,47.55160097553347,16.70452,7.088305162453143,557.5375,91.45675654242362,1137.0741,123.24568414379745,-55.47035,37.67078847844187,1608.008,109.64985079260501,799.78485,165.7466198514761,-58.00509,33.77792543672761,2647.3665,93.00189528757984,807.61255,111.88066622674094,-58.189133,32.63005727112377,-7.479669,12.987632152908718,18.037157,4.8673677890926,0.09553886,0.2760834779335465,-0.01650423,9.907103029644068,1.360506,0.8062377935065247,26.752382,8.41656377900451,-7.6254716,3172.6075792923084,21.433159,11.487829453917016,-5.4048867,167.06939780789074,2.3511562,5.1996636,0.101027146,-0.0059729163,0.38567847,7.291667,3.2333336,0.25922018,0.22935198966357975,0.099914,0.11677910172946614,-21.157354
1,35.731373,3.7203189103750622,12.9967375,36.335865,51.873886,38.877148,231.47041,117.68822,41.241695,42.33357,1.017865,0.7234962096793418,0.070741236,0.91181934,2.6708515,2.6001103,14.507566,7.201715,8.337199,5.0828586,0.7349194,0.9777251216768204,23.133278,6.499005619273812,5.1328273,24.349247105032457,6.5708985,81.31731317116306,-1.2891589,166.6291382377392,0.031980928,1.6619995045565337,1.0412104,0.8889606814854868,8.220115,2.684143096286336,10.042097,7.68971715140186,21.704258,6.801763913666998,564.6179,67.00404467713237,1263.8755,83.1331770223651,-71.007195,38.328386877056204,1615.7395,103.38453379624814,943.83636,126.55301886118197,-68.269585,30.38784358081837,2611.7434,102.80500818308793,889.0905,117.27075890401701,-70.95933,29.64140144916018,-16.520351,4.150774534279263,25.34052,4.940018114713879,0.07407609,0.5714170886282899,-0.029414883,0.9040341338687243,0.91692674,0.7701440546894809,28.009293,6.375414476039032,4.7967043,271.03423054649807,5.0144715,97.88414207918538,-5.3877616,233.2409466892948,-5.2303915,12.719941,0.009886584,-0.011901692,0.1905875,8.333334,2.5375,0.345714,0.25881247549121006,0.12472866,0.12955583898005793,-23.518204
2,28.307423,4.66450786853948,15.74567,28.249563,59.464012,43.71834,187.2818,154.23288,73.68469,67.80262,1.6694723,0.6101744719235195,0.17512827,1.6865247,3.4915435,3.3164153,16.807505,7.6628675,13.603466,7.094666,1.3224956,0.7562458523436448,23.326323,8.765133272730036,5.1165123,1276.787353595695,9.687166,121.49392997874439,1.5622951,74.42744117400792,0.04291455,1.5309931889021926,1.1918689,0.8864569934982912,4.2983,4.782291753521795,6.240586,8.201368209491863,24.362343,5.152015937201798,535.7575,83.53004456924282,1174.8717,86.25603689881983,-36.098896,39.26064220020356,1554.0892,103.56352946407752,869.32416,98.11541068240743,-43.81854,28.02393081801988,2558.1902,104.66601440603947,791.9975,98.02468495703155,-48.021137,26.91493068255752,-13.761879,4.845561030867008,23.442934,4.1644155598830555,0.07378243,0.6293556979434433,-0.017779766,1.983527060719368,1.4300952,0.6836770616765937,26.67086,5.830950968341523,5.3191447,214.91122726753017,10.157603,93.55783873991598,1.0859822,421.3813133821358,-2.852269,10.055311,0.04279586,-0.0031606327,0.6147101,9.375,2.829167,0.39523533,0.3194416939394724,0.06273133,0.08132912548795075,-19.421919
3,27.628082,4.67482478563998,15.584192,27.6543,59.464012,43.87982,176.20128,143.58414,76.79158,69.38044,1.5854131,0.6332524756374978,0.17512827,1.5930041,3.4896424,3.3145142,16.071907,7.4299703,13.204817,6.9884677,1.2811282,0.7755637756645658,23.493505,8.807939459805775,5.530873,1276.3862696871308,11.311164,121.51621047050965,2.0541892,16.893459675420765,0.04756733,1.52459600399091,1.2256982,0.8961017857924918,4.054862,6.540817331725011,6.5074573,13.12287232321137,24.4915,4.965561738099447,531.2,81.38056912586597,1181.1503,94.51543838542779,-37.427258,38.58946335800181,1551.5945,102.66358710854512,864.8985,106.713224258441,-45.481567,27.92107978519878,2552.7954,92.14170546057488,800.76624,98.78131817750771,-49.36097,26.754217289264087,-14.1224375,4.339352898995513,23.553059,3.9650126039682596,0.07199707,0.9340649614655786,-0.01685805,1.8985059438236525,1.3921052,0.694421504961868,27.121761,5.834051887334558,5.5965157,214.79137613628149,11.831857,93.58488761448103,1.451967,415.28375229092234,-3.216993,10.612929,0.03685227,-0.0025695518,0.57713825,9.375,2.8916667,0.38370362,0.3118576553696461,0.06666066,0.08523592010340814,-19.815445
4,28.66874,5.339921611885648,0.0,27.830917,59.57303,59.57303,202.74634,140.47119,102.72211,82.29731,1.3031543,1.1031251174680412,0.023568803,1.0322999,4.231098,4.2075295,20.14914,9.219463,12.135283,6.8449354,0.96234185,1.209298128335317,22.447906,7.325271958411793,0.9268028,77.40868752104927,10.242898,22.993121292202137,-11.983357,16.03876964661843,0.052536972,1.425776330506539,1.5877075,0.864077082557482,2.8666272,9.610126080998135,0.4426043,21.454999658965136,17.570578,13.975024931056154,606.48975,139.0636109237016,1132.2236,195.5527941525387,-55.56464,177.95436035793315,1634.0768,266.041951180793,839.8516,190.68740898486763,-58.33389,47.87986645765311,2668.7642,403.35574554666454,783.1039,178.8754741530712,-60.521336,47.00658580293289,-10.79817,4.591366304229273,20.381922,5.236930406666948,0.11184007,0.2554188884849649,-0.028882679,0.5877491875700371,1.2453494,0.8613873984132465,25.249386,13.649376913125897,-3.1047223,56.97887026530658,8.37902,26.40358204755749,-17.764202,13.623942290453643,-6.1566005,14.956733,0.081133395,-0.011037514,0.26546374,7.291667,2.325,0.3519293,0.2669864390403699,0.174172,0.22118304242744075,-22.558853
5,21.959702,4.156274912846221,12.273752,22.002398,61.056236,48.782486,161.80228,112.34728,108.82061,92.568954,0.8315331,0.6047452514937842,0.14656277,0.76109034,2.8399982,2.6934354,7.458312,3.328387,4.3074217,2.5325954,0.40998602,0.6645559531328877,16.277979,5.13418260332201,4.217337,28.367142619761587,9.370082,72.94054863702863,-1.6187439,110.63297455470767,0.051591348,1.3883730760822512,1.3897351,0.5897371701755082,-1.3625002,33.64513024970047,0.25332525,54.179252419372446,9.002414,14.654157343260113,576.002,129.4145168960699,1161.8895,93.61278501482958,-67.181076,34.90212169647225,1587.8452,147.10735432943318,830.3028,103.29366115149668,-69.87788,33.34449513147303,2607.6963,130.11365804429005,687.471,100.49978356149408,-71.55488,32.47686205227714,-9.341352,3.0851101460248063,17.055235,3.773563473516682,0.006152323,31.606741482925017,-0.015056824,52.863698074134874,0.4613677,0.617691571168496,19.29496,4.189669875830995,2.0230005,22.347771263371044,9.758215,27.29475109371214,-3.2575293,13.34513011849294,-7.27399,14.239405,-0.019046394,-0.008814936,0.2912968,7.291667,4.05,0.19526267,0.18687809020497573,0.08828543,0.0966195171952608,-32.34394
6,30.556421,6.008148065270014,0.0,29.622719,60.760677,60.760677,154.48816,104.72618,96.28044,86.79193,0.7999835,1.1430262186887126,0.015142529,0.6438684,3.983504,3.9683616,11.123608,5.106668,7.146541,4.5072303,0.5758077,1.3555516505138518,19.85065,29.946783092936982,3.6581118,95.72096928138595,2.3075826,26.598747354085276,3.3966992,55.59835899109189,0.052921914,1.2809108091091213,1.6415204,0.8647145110843542,3.0679653,56.91377619820104,1.4806095,167.4717711243492,18.823254,11.655976534831042,577.7867,152.0844336362872,1176.4082,196.73869629589583,-69.102394,107.53554893775791,1595.8958,200.01437172855785,888.4969,196.1986402180606,-70.20476,46.25118247613302,2616.442,228.42353762632092,883.5162,146.22173135789922,-74.56073,43.22701685503961,-11.1748705,21.612603506949345,23.57905,9.239500197283151,0.06578978,0.8589129594405964,-0.01834903,11.189682005378419,0.7711887,0.97411293125055,25.98473,99.07888207701731,-0.8920282,17.268155068415613,1.9653323,25.553924740746517,-0.35025656,25.859041038794953,-11.220942,21.127722,-0.01169501,-0.0052802158,0.1452084,7.291667,2.504167,0.299626,0.23522050849987325,0.18453333,0.2121324114025747,-28.58176
7,30.714825,5.3466500421346135,17.051615,29.693186,60.760677,43.70906,123.923676,87.06121,103.18534,89.9175,0.8446416,1.0944305850037161,0.015142529,0.70241874,3.983504,3.9683616,11.776872,5.1990743,7.3776746,4.4750805,0.631251,1.2840756203141492,21.597033,29.802785147478446,4.1021786,71.22966240781629,2.3795123,27.709318016787915,4.6246147,56.3202568990055,0.05218294,1.280519431848907,1.6258674,0.8038978545851917,3.315123,56.85610690638427,1.9706731,167.7075184960262,20.013464,10.381858025904465,556.0482,125.65828468900817,1196.4312,171.33409672743625,-61.248352,105.29738725005744,1580.7058,145.71424262352298,904.01355,174.87192247335705,-63.44393,40.52449547155797,2604.979,136.20348456482876,890.297,130.00651717350163,-68.38074,37.7732177157946,-12.242372,21.469611637423515,24.78348,7.716588364718475,0.06586691,0.8047484917431644,-0.019213427,11.179516076144237,0.8186102,0.9877428128119566,27.26867,98.99658570294162,0.6163385,17.239038775948536,2.1595504,23.106532462390796,1.7271864,26.371611542640785,-10.638885,20.662596,-0.00816684,-0.0051227496,0.15928617,7.291667,2.616667,0.30275667,0.23031941717288829,0.15634666,0.18328494359469985,-27.526213
8,30.250021,3.5696816585543965,13.325541,30.958126,40.858147,27.532606,153.59105,106.643265,73.78116,57.645187,0.882728,0.6407555022203215,0.11182549,0.7860829,2.3073573,2.1955318,9.031281,4.64708,5.659763,3.6185277,0.5219165,0.8738024330913066,22.171219,5.049696194469596,4.9595637,336.00021564738137,7.3511634,16.400788045499432,-1.1587063,356.9462620089937,0.04542227,1.510919197593168,1.1548473,0.6489122497212246,4.3095446,12.07514882266902,6.1035304,24.817759204700717,20.228958,5.278985049725876,499.96188,65.43930395575718,1212.0259,65.1921687132144,-52.957233,34.76702499726627,1500.536,86.11144213123922,894.14545,96.53552458729551,-55.65517,30.492187320599783,2511.0164,82.66409595331277,824.3309,103.28565561978442,-60.46311,29.41477016157876,-11.964613,2.578829014413858,22.446136,2.6883624778718676,0.0401268,2.897817807602026,-0.015247428,1.1869194610601221,0.5922437,0.7719044155455663,25.314003,4.116989754233749,4.123029,13.418660874460619,6.935918,21.059424654070302,-1.72119,316.1371562590633,-6.691332,14.375548,-0.0059763775,-0.008112378,0.25072253,9.375,3.0333335,0.34949237,0.3069614832702128,0.085207336,0.09346190991074076,-27.915281
9,29.261032,4.70603841284352,17.832386,27.772097,61.12809,43.295704,185.5968,137.01456,104.806244,92.92452,1.0727549,0.8497231478527923,0.0023894922,0.9459631,3.0314426,3.0290532,14.351434,6.061598,9.464818,5.621882,0.7396537,0.9805758921436276,21.309347,9.755356115935973,2.52462,16.17012028879515,14.783334,70.38226341440341,-12.60617,18.64213801305676,0.042352714,1.4230433647898302,1.5335186,0.806368910311064,3.1140409,19.177322520036537,0.60117126,108.00673137730595,16.681717,8.301948385973091,537.85175,108.18906945320367,1160.7839,143.74814773174765,-43.245407,39.85528385403229,1578.4352,134.50699030908532,851.994,164.42590990179988,-50.17697,33.864357825236965,2598.4358,141.81657155989635,830.73,130.55104193529152,-50.97086,34.618745832327285,-10.970043,13.024521625119242,19.480484,7.2597611996464275,0.09182171,0.3745841462255165,-0.030791525,0.5533439978311306,0.8608332,0.7685444931541107,26.59832,10.19223865227887,1.064785,117.70008322966886,14.851052,15.546995318503216,-15.790871,25.60516625307582,0.12416896,6.1404233,0.06731325,-0.010584989,0.35959393,8.333334,2.6666667,0.34959266,0.26296590332848496,0.10941666,0.13977014845134764,-24.393547
